iter	Passed	Remaining
0	61	30774
1	162	40409
2	257	42676
3	323	40068
4	379	37600
5	435	35830
6	498	35120
7	558	34366
8	629	34357
9	685	33568
10	736	32750
11	791	32184
12	825	30907
13	872	30304
14	950	30730
15	1043	31559
16	1097	31174
17	1134	30379
18	1192	30191
19	1239	29738
20	1286	29344
21	1339	29104
22	1375	28518
23	1409	27956
24	1467	27878
25	1517	27660
26	1585	27771
27	1678	28300
28	1820	29569
29	1919	30078
30	1988	30077
31	2048	29962
32	2102	29752
33	2140	29332
34	2198	29206
35	2249	28988
36	2354	29461
37	2436	29617
38	2501	29567
39	2565	29504
40	2624	29382
41	2680	29226
42	2737	29093
43	2763	28643
44	2818	28497
45	2874	28374
46	2928	28227
47	2986	28125
48	3045	28026
49	3131	28183
50	3202	28191
51	3270	28177
52	3332	28105
53	3375	27877
54	3429	27746
55	3481	27602
56	3521	27365
57	3584	27319
58	3646	27253
59	3702	27155
60	3756	27036
61	3813	26939
62	3865	26812
63	3984	27147
64	4041	27044
65	4123	27113
66	4181	27021
67	4232	26891
68	4299	26855
69	4410	27094
70	4512	27263
71	4562	27123
72	4620	27024
73	4648	26762
74	4704	26656
75	4755	26532
76	4809	26422
77	4863	26311
78	4915	26193
79	4965	26069
80	4995	25843
81	5048	25734
82	5107	25661
83	5164	25576
84	5256	25662
85	5304	25535
86	5355	25423
87	5413	25346
88	5458	25205
89	5513	25116
90	5562	25000
91	5621	24928
92	5654	24746
93	5708	24657
94	5760	24557
95	5801	24415
96	5854	24323
97	5953	24421
98	6032	24434
99	6096	24384
100	6145	24275
101	6199	24191
102	6251	24095
103	6286	23936
104	6340	23852
105	6388	23745
106	6426	23602
107	6473	23495
108	6523	23400
109	6573	23305
110	6629	23232
111	6700	23211
112	6794	23269
113	6850	23196
114	6911	23137
115	6967	23063
116	6991	22887
117	7042	22798
118	7061	22608
119	7086	22440
120	7138	22359
121	7180	22248
122	7225	22147
123	7271	22047
124	7317	21953
125	7374	21890
126	7457	21903
127	7537	21904
128	7600	21857
129	7626	21706
130	7659	21576
131	7715	21508
132	7764	21425
133	7817	21351
134	7865	21267
135	7919	21197
136	7977	21137
137	7995	20974
138	8049	20905
139	8097	20822
140	8187	20847
141	8275	20863
142	8349	20844
143	8377	20712
144	8422	20621
145	8448	20485
146	8501	20415
147	8522	20268
148	8579	20209
149	8622	20119
150	8671	20042
151	8725	19976
152	8768	19886
153	8803	19778
154	8856	19712
155	8923	19677
156	8984	19629
157	9060	19612
158	9122	19563
159	9146	19436
160	9197	19366
161	9243	19285
162	9286	19200
163	9313	19082
164	9338	18960
165	9377	18868
166	9426	18796
167	9481	18736
168	9534	18674
169	9551	18541
170	9600	18471
171	9646	18396
172	9738	18407
173	9816	18391
174	9858	18308
175	9886	18199
176	9937	18133
177	9992	18076
178	10026	17981
179	10063	17890
180	10120	17836
181	10177	17782
182	10211	17689
183	10263	17627
184	10312	17559
185	10374	17513
186	10471	17526
187	10552	17512
188	10604	17450
189	10652	17380
190	10709	17325
191	10747	17240
192	10786	17157
193	10841	17099
194	10886	17027
195	10933	16957
196	10989	16901
197	11037	16834
198	11104	16796
199	11190	16786
200	11260	16750
201	11297	16666
202	11348	16603
203	11400	16541
204	11443	16467
205	11508	16424
206	11552	16351
207	11605	16291
208	11656	16230
209	11712	16173
210	11763	16111
211	11822	16060
212	11897	16030
213	11957	15980
214	12040	15960
215	12082	15886
216	12128	15817
217	12184	15761
218	12257	15727
219	12339	15705
220	12409	15666
221	12469	15614
222	12507	15536
223	12554	15468
224	12600	15400
225	12650	15337
226	12704	15279
227	12746	15206
228	12786	15131
229	12837	15070
230	12894	15015
231	12952	14962
232	12990	14885
233	13040	14823
234	13075	14744
235	13128	14686
236	13174	14620
237	13213	14545
238	13249	14469
239	13303	14411
240	13350	14347
241	13398	14283
242	13433	14207
243	13475	14138
244	13510	14061
245	13599	14042
246	13657	13989
247	13719	13940
248	13762	13872
249	13801	13801
250	13840	13730
251	13883	13662
252	13930	13600
253	13972	13532
254	14013	13464
255	14051	13392
256	14087	13319
257	14128	13252
258	14173	13188
259	14208	13115
260	14249	13048
261	14305	12994
262	14389	12966
263	14446	12914
264	14488	12848
265	14526	12778
266	14566	12711
267	14612	12649
268	14658	12588
269	14712	12533
270	14750	12464
271	14804	12409
272	14852	12349
273	14890	12282
274	14922	12209
275	14962	12143
276	14994	12071
277	15069	12033
278	15147	11998
279	15212	11952
280	15257	11890
281	15296	11824
282	15333	11757
283	15372	11691
284	15409	11624
285	15454	11564
286	15496	11500
287	15535	11435
288	15577	11373
289	15613	11306
290	15668	11253
291	15704	11187
292	15816	11173
293	15884	11129
294	15946	11081
295	15995	11023
296	16049	10969
297	16103	10915
298	16175	10873
299	16221	10814
300	16268	10755
301	16310	10693
302	16358	10635
303	16403	10575
304	16446	10514
305	16512	10468
306	16618	10447
307	16712	10418
308	16758	10358
309	16812	10304
310	16855	10243
311	16900	10183
